tech_id,process_type,description,unit_operation,main_sector,main_category,category_spec,tech_type,year,reference_unit_size,reference_unit_size_unit,location,currency,trl,tech_maturity,efficiency,efficiency_unit,carriers_in,main_input,ratios_in,units_in,carriers_out,main_out,ratios_out,units_out,capex,capex_unit,opex,opex_unit,lifetime,lifetime_unit,ref_year,summary,model
MEOH_2035,Conversion,Direct-route methanol synthesis converts CO2 and hydrogen to methanol.,Methanol synthesis,Chemicals,Methanol Production,Direct-route,Methanol synthesis,2035,246.6,kt methanol/y,,EUR,,,,,CO2; hydrogen,CO2,,,methanol,methanol,,,120.2,M EUR,,,,,2035,"The methanol synthesis plant is sized for 246.6 kt methanol/y based on 360 kt CO2/y input. Baseline CAPEX is 120.2 M EUR in 2020 euros, including all necessary subunits.",gpt-5.6-terra
MEOH_2050,Conversion,Direct-route methanol synthesis converts CO2 and hydrogen to methanol.,Methanol synthesis,Chemicals,Methanol Production,Direct-route,Methanol synthesis,2050,,,,EUR,,,,,CO2; hydrogen,CO2,,,methanol,methanol,,,,,,,,,2035,No separate future methanol-synthesis technical or cost values are specified. Methanol MSP is 580-840 EUR/t; long-term DAC methanol MSP is 2.2-3.0 times the fossil counterpart.,gpt-5.6-terra
Methanation,,,,,,,Methanation,,,,,,,,,,,,,,,,,,,,,,,,2035,Extraction failed: timeout.,gpt-5.6-terra
Dimethyl_ether_synthesis,,,,,,,Dimethyl ether synthesis,,,,,,,,,,,,,,,,,,,,,,,,2035,Extraction failed: timeout.,gpt-5.6-terra
Haber_Bosch_process,,,,,,,Haber-Bosch process,,,,,,,,,,,,,,,,,,,,,,,,2035,Extraction failed: timeout.,gpt-5.6-terra
Urea_synthesis,,,,,,,Urea synthesis,,,,,,,,,,,,,,,,,,,,,,,,2035,Extraction failed: timeout.,gpt-5.6-terra
Methanol_to_olefins,,,,,,,Methanol-to-olefins,,,,,,,,,,,,,,,,,,,,,,,,2035,Extraction failed: timeout.,gpt-5.6-terra
CSP_TES_2035,Conversion,Concentrated solar power coupled with thermal energy storage supplies electricity in Chile. The system enables 8000 full-load operational hours per year.,Solar thermal electricity generation,Electricity,Concentrated Solar Power,Thermal energy storage coupled,Concentrated solar power coupled with thermal energy storage,2035,8000,full-load hours/year,Chile; Sierra Gorda,EUR,,,,,solar resource,solar resource,,,electricity,electricity,,,,,,,,,2035,"CSP-TES at Sierra Gorda, Chile provides dispatchable electricity based on high direct normal irradiance. Baseline electricity cost is 82.1 EUR/MWh el, with a range of 79.0-88.0 EUR/MWh el; baseline GHG emissions are 16.0 kg CO2 eq/MWh el.",gpt-5.6-terra
CSP_TES_2050,Conversion,Concentrated solar power coupled with thermal energy storage supplies electricity for Chilean standalone CCU production. It is compared with PV without storage and PV-BESS.,Solar thermal electricity generation,Electricity,Concentrated Solar Power,Thermal energy storage coupled,Concentrated solar power coupled with thermal energy storage,2050,8000,full-load hours/year,Chile; Sierra Gorda,EUR,,,,,solar resource,solar resource,,,electricity,electricity,,,,,,,,,2035,"CSP-TES at Sierra Gorda, Chile is assessed at 8000 full-load hours per year, with a 4000 h sensitivity case. Baseline electricity cost is 63.1 EUR/MWh el, with a range of 47.0-88.0 EUR/MWh el; Chilean FT fuels using CSP-TES have an MSP of 2245 EUR/t.",gpt-5.6-terra
TES_2035,Storage,Thermal energy storage integrated with concentrated solar power provides dispatchable electricity in Chile. It enables 8000 full-load operational hours per year.,Thermal energy storage,Electricity,Thermal Energy Storage,CSP-integrated,Thermal energy storage integrated with concentrated solar power,2035,8000,full-load hours/year,Chile; Sierra Gorda,EUR,,,,,solar thermal energy,solar thermal energy,,,electricity,electricity,,,,,,,,,2035,"CSP-integrated thermal energy storage at Sierra Gorda, Chile stores solar thermal energy for electricity supply. Baseline electricity cost is 82.1 EUR/MWh el, with baseline GHG emissions of 16.0 kg CO2 eq/MWh el.",gpt-5.6-terra
TES_2050,Storage,Thermal energy storage integrated with concentrated solar power supplies stored solar electricity for standalone CCU systems in Chile. Operating hours are assessed at 8000 h/year and 4000 h/year.,Thermal energy storage,Electricity,Thermal Energy Storage,CSP-integrated,Thermal energy storage integrated with concentrated solar power,2050,8000,full-load hours/year,Chile; Sierra Gorda,EUR,,,,,solar thermal energy,solar thermal energy,,,electricity,electricity,,,,,,,,,2035,"CSP-integrated thermal energy storage at Sierra Gorda, Chile is assessed for standalone CCU systems. Baseline electricity cost is 63.1 EUR/MWh el; Chilean FT fuels using CSP-TES have an MSP of 2245 EUR/t.",gpt-5.6-terra
WCT_2035,Conversion,A wet cooling tower provides process cooling without an applied scaling factor. Cooling-unit capacity is determined by the associated process configuration.,Wet cooling,Industry,Cooling,Wet cooling tower,Wet cooling tower,2035,,MW cooling,,EUR,,,,Wh el/kWh cooling,electricity; water; cooling-air flow; consumables,electricity,33,Wh el/kWh cooling,cooling,cooling,1,kWh cooling,24.5,kEUR/MW cooling,,,,,2035,"The wet cooling tower requires 33.0 Wh el/kWh cooling at baseline, with a range of 5.0-60.0 Wh el/kWh cooling. Baseline CAPEX is 24.5 kEUR/MW cooling, with a range of 22-27 kEUR/MW cooling; the applicable capacity range is 8.0-284.2 MW cooling.",gpt-5.6-terra
