tech_id,process_type,description,unit_operation,main_sector,main_category,category_spec,tech_type,year,reference_unit_size,reference_unit_size_unit,location,currency,trl,tech_maturity,efficiency,efficiency_unit,carriers_in,main_input,ratios_in,units_in,carriers_out,main_out,ratios_out,units_out,capex,capex_unit,opex,opex_unit,lifetime,lifetime_unit,ref_year,summary,model
PSC_2035,Capture,"Flue-gas point-source capture, such as postcombustion amine capture at a cement production site.",CO₂ capture,Industry,CO₂ Capture,Postcombustion amine,Point-source carbon capture,2035,360,kt CO₂/y,"Industrial point source; Basel, Switzerland",EUR,,Mature,,,flue gas; amine solvent; electricity; heat,flue gas,,,captured CO₂,captured CO₂,,,,,50,EUR/t CO₂,25,years,2024,"Near-future postcombustion amine capture by 2035, with an assumed operating cost of €50/t CO₂, a 360 kt CO₂/y reference input, and a 25-year investment lifetime.",gpt-5.6-luna
PSC_2050,Capture,"Postcombustion amine capture from industrial flue gas, including cement production.",CO₂ capture,Industry,CO₂ Capture,Postcombustion amine,Point-source carbon capture,2050,360,kt CO₂/y,"Industrial point source; Basel, Switzerland",EUR,,Mature,,,flue gas; amine solvent; electricity; heat,flue gas,,,captured CO₂,captured CO₂,,,,,50,EUR/t CO₂,25,years,2024,"Long-term postcombustion amine capture by 2050, with an assumed operating cost of €50/t CO₂, a 360 kt CO₂/y reference input, and a 25-year investment lifetime.",gpt-5.6-luna
GEO_2035,Conversion,"Geothermal electricity supply, with geothermal electricity and low-temperature heat colocated at Hellisheidi DAC.",Geothermal power generation,Electricity,Geothermal Power,Geothermal,Geothermal power,2035,8000,h/y,Iceland,EUR,,,,,geothermal resource,geothermal resource,,,electricity,electricity,,,,,,,,,2024,"Near-future geothermal electricity supply in Iceland by 2035, assessed on an 8000 h/y basis with a baseline electricity cost of 25.6 €/MWh_el.",gpt-5.6-luna
GEO_2050,Conversion,Geothermal electricity supply.,Geothermal power generation,Electricity,Geothermal Power,Geothermal,Geothermal power,2050,8000,h/y,Iceland,EUR,,,,,geothermal resource,geothermal resource,,,electricity,electricity,,,,,,,,,2024,"Long-term geothermal electricity supply in Iceland by 2050, assessed on an 8000 h/y basis with a baseline electricity cost of 13.9 €/MWh_el.",gpt-5.6-luna
OWP_2035,Conversion,Offshore wind electricity supply located near Rotterdam.,Wind power generation,Electricity,Wind Power,Offshore,Offshore wind power,2035,8000,h/y,"The Netherlands, near Rotterdam",EUR,,,,,wind resource,wind resource,,,electricity,electricity,,,,,,,,,2024,"Near-future offshore wind electricity supply in the Netherlands by 2035, assessed on an 8000 h/y basis with a baseline electricity cost of 63.9 €/MWh_el.",gpt-5.6-luna
OWP_2050,Conversion,Offshore wind electricity supply near Rotterdam.,Wind power generation,Electricity,Wind Power,Offshore,Offshore wind power,2050,8000,h/y,"The Netherlands, near Rotterdam",EUR,,,,,wind resource,wind resource,,,electricity,electricity,,,,,,,,,2024,"Long-term offshore wind electricity supply in the Netherlands by 2050, assessed on an 8000 h/y basis with a baseline electricity cost of 40.0 €/MWh_el.",gpt-5.6-luna
PV_2035,Conversion,Photovoltaic electricity supply used in Spain and Chile.,Photovoltaic power generation,Electricity,Solar Power,Photovoltaic,Photovoltaic power,2035,8000,h/y,Spain and Chile,EUR,,,,,solar irradiance,solar irradiance,,,electricity,electricity,,,,,,,,,2024,"Near-future photovoltaic electricity supply in Spain and Chile by 2035, assessed on an 8000 h/y basis, with baseline electricity costs of 34.7 €/MWh_el in Spain and 26.4 €/MWh_el in Chile.",gpt-5.6-luna
PV_2050,Conversion,Photovoltaic electricity supply in Spain and Chile.,Photovoltaic power generation,Electricity,Solar Power,Photovoltaic,Photovoltaic power,2050,8000,h/y,Spain and Chile,EUR,,,,,solar irradiance,solar irradiance,,,electricity,electricity,,,,,,,,,2024,"Long-term photovoltaic electricity supply in Spain and Chile by 2050, assessed on an 8000 h/y basis, with baseline electricity costs of 18.1 €/MWh_el in Spain and 13.7 €/MWh_el in Chile.",gpt-5.6-luna
PVBESS_2035,Storage,Photovoltaic power with a battery energy storage system providing full-load operation and dispatchable electricity.,Electricity generation and battery storage,Electricity,Battery Storage,PV-BESS,Photovoltaic battery storage,2035,8000,h/y,Spain and Chile; detailed example in Chile,EUR,,,,,solar electricity; battery storage,solar electricity,,,dispatchable electricity,dispatchable electricity,,,,,,,,,2024,"Near-future PV-BESS electricity supply by 2035, using full-load operation at 8000 h/y with a sensitivity case of 4000 h/y; the baseline electricity cost is 68.2 €/MWh_el.",gpt-5.6-luna
PVBESS_2050,Storage,Photovoltaic electricity supply with battery storage providing full-load operation and dispatchable electricity.,Electricity generation and battery storage,Electricity,Battery Storage,PV-BESS,Photovoltaic battery storage,2050,8000,h/y,Chile,EUR,,,,,solar electricity; battery storage,solar electricity,,,dispatchable electricity,dispatchable electricity,,,,,,,,,2024,"Long-term PV-BESS electricity supply by 2050, based on 8000 h/y full-load operation with a 4000 h/y sensitivity case; the Chilean FT-fuel MSP increases to 1830 €/t.",gpt-5.6-luna
MTO_2035,Conversion,Methanol-to-olefins (MTO) synthesis from CO2-derived methanol. Technology-specific operating conditions and catalyst data are not reported.,MTO synthesis,Chemicals,Methanol-to-olefins,CO2-derived methanol,Methanol-to-olefins,2035,93.8,kt/y,"Iceland, The Netherlands, Spain, and Chile; final products transported to Basel, Switzerland",EUR,,Long-term plants use well-established technologies after 2035,,,CO2; methanol; hydrogen; electricity; heat; sorbent,CO2,360; 55.1; 8.3; 7.5,kt/y; not reported; not reported; kWh el/kg H2; kWh th/kg H2; kg/t CO2,olefins,olefins,93.8,kt/y,92.1,M€,,,25,years,2024,Near-future MTO with 360 kt/y CO2 input and 93.8 kt/y olefin product mix capacity. Baseline CAPEX is 92.1 M€ in 2020 euros; specific MTO OPEX and efficiency are not reported. Renewable electrolysis and LT DAC parameters are provided for upstream integration.,gpt-5.6-luna
MTO_2050,Conversion,Methanol-to-olefins (MTO) synthesis using well-established post-2035 technologies. Specific process operating conditions are not reported.,MTO synthesis,Chemicals,Methanol-to-olefins,CO2-derived methanol,Methanol-to-olefins,2050,93.8,kt/y,"Iceland, The Netherlands, Spain, and Chile; products transported to Basel, Switzerland",EUR,,Well-established technologies,,,CO2; methanol; hydrogen; electricity; heat,CO2,360; 48.9; 8.3,kt/y; not reported; not reported; kWh el/kg H2; kWh th/kg H2,olefins,olefins,93.8,kt/y,92.1,M€,,,25,years,2024,Long-term MTO with 360 kt/y CO2 input and 93.8 kt/y olefin product mix capacity. Baseline CAPEX is 92.1 M€ in 2020 euros; specific MTO OPEX and efficiency are not reported. Renewable electrolysis and LT DAC parameters are provided for upstream integration.,gpt-5.6-luna
MTA_2035,Conversion,Methanol-to-aromatics (MTA) synthesis from CO2-derived methanol. Technology-specific operating conditions and catalyst data are not reported.,MTA synthesis,Chemicals,Methanol-to-aromatics,CO2-derived methanol,Methanol-to-aromatics,2035,97.2,kt/y,"Iceland, The Netherlands, Spain, and Chile; final products transported to Basel, Switzerland",EUR,,Long-term plants use well-established technologies after 2035,,,CO2; methanol; hydrogen; electricity; heat; sorbent,CO2,360; 55.1; 8.3; 7.5,kt/y; not reported; not reported; kWh el/kg H2; kWh th/kg H2; kg/t CO2,aromatics,aromatics,97.2,kt/y,16.4,M€,,,25,years,2024,Near-future MTA with 360 kt/y CO2 input and 97.2 kt/y aromatic product mix capacity. Baseline CAPEX is 16.4 M€ in 2020 euros; specific MTA OPEX and efficiency are not reported. Renewable electrolysis and LT DAC parameters are provided for upstream integration.,gpt-5.6-luna
MTA_2050,Conversion,Methanol-to-aromatics (MTA) synthesis using well-established post-2035 technologies. Specific process operating conditions are not reported.,MTA synthesis,Chemicals,Methanol-to-aromatics,CO2-derived methanol,Methanol-to-aromatics,2050,97.2,kt/y,"Iceland, The Netherlands, Spain, and Chile; products transported to Basel, Switzerland",EUR,,Well-established technologies,,,CO2; methanol; hydrogen; electricity; heat,CO2,360; 48.9; 8.3,kt/y; not reported; not reported; kWh el/kg H2; kWh th/kg H2,aromatics,aromatics,97.2,kt/y,16.4,M€,,,25,years,2024,Long-term MTA with 360 kt/y CO2 input and 97.2 kt/y aromatic product mix capacity. Baseline CAPEX is 16.4 M€ in 2020 euros; specific MTA OPEX and efficiency are not reported. Renewable electrolysis and LT DAC parameters are provided for upstream integration.,gpt-5.6-luna
